,from,to,changes,departure,arrival,duration
4,CTK,BFR,0,08:46,08:48,2
3,CTK,BFR,0,08:41,08:43,2
2,CTK,BFR,0,08:39,08:41,2
0,CTK,BFR,0,08:34,08:36,2
1,CTK,BFR,0,08:36,08:38,2
0,CST,LBG,0,07:57,08:00,3
1,CST,LBG,0,08:05,08:08,3
2,CST,LBG,0,08:14,08:17,3
3,CST,LBG,0,08:17,08:20,3
4,CST,LBG,0,08:24,08:27,3
0,WAE,LBG,0,08:23,08:27,4
4,ZFD,BFR,0,08:44,08:48,4
3,ZFD,BFR,0,08:39,08:43,4
2,ZFD,BFR,0,08:37,08:41,4
1,ZFD,BFR,0,08:34,08:38,4
0,ZFD,BFR,0,08:32,08:36,4
4,WAE,LBG,0,08:31,08:35,4
2,WAE,LBG,0,08:27,08:31,4
1,WAE,LBG,0,08:25,08:29,4
3,WAE,LBG,0,08:29,08:33,4
3,EPH,BFR,0,08:34,08:39,5
2,LBG,BFR,0,08:31,08:36,5
4,LBG,BFR,0,08:41,08:46,5
2,NWX,LBG,0,08:18,08:23,5
3,BFR,LBG,0,08:24,08:29,5
4,BFR,LBG,0,08:29,08:34,5
1,SBM,LBG,0,07:46,07:51,5
2,SBM,LBG,0,08:01,08:06,5
3,SBM,LBG,0,08:10,08:15,5
1,EPH,BFR,0,08:24,08:29,5
4,SBM,LBG,0,08:16,08:21,5
4,EPH,BFR,0,08:44,08:49,5
0,SBM,LBG,0,07:40,07:45,5
2,BFR,LBG,0,08:19,08:24,5
0,BFR,LBG,0,08:11,08:17,6
2,DEP,LBG,0,07:57,08:03,6
2,EPH,BFR,0,08:31,08:37,6
3,LBG,BFR,0,08:35,08:41,6
0,LBG,CST,0,08:34,08:40,6
0,DEP,LBG,0,07:44,07:50,6
4,LBG,CST,0,08:44,08:50,6
3,LBG,CST,0,08:41,08:47,6
2,LBG,CST,0,08:39,08:45,6
0,EPH,BFR,0,08:23,08:29,6
1,LBG,CST,0,08:36,08:42,6
4,NWX,LBG,0,08:24,08:30,6
1,BFR,LBG,0,08:14,08:20,6
1,LBG,BFR,0,08:28,08:34,6
3,QRP,LBG,0,08:08,08:15,7
4,DEP,LBG,0,08:20,08:27,7
3,DEP,LBG,0,08:09,08:16,7
1,DEP,LBG,0,07:50,07:57,7
0,LBG,BFR,0,08:24,08:31,7
0,QRP,LBG,0,07:38,07:45,7
4,CHX,LBG,0,08:28,08:35,7
3,CHX,LBG,0,08:26,08:33,7
2,CHX,LBG,0,08:24,08:31,7
1,CHX,LBG,0,08:22,08:29,7
0,CHX,LBG,0,08:20,08:27,7
3,NWX,LBG,0,08:21,08:28,7
1,STP,BFR,0,08:30,08:38,8
3,STP,BFR,0,08:35,08:43,8
4,STP,BFR,0,08:40,08:48,8
0,GNW,LBG,0,07:42,07:50,8
2,GNW,LBG,0,07:55,08:03,8
4,CTK,LBG,0,08:26,08:34,8
3,CTK,LBG,0,08:21,08:29,8
2,CTK,LBG,0,08:16,08:24,8
1,QRP,LBG,0,07:43,07:51,8
4,QRP,LBG,0,08:13,08:21,8
1,SAJ,LBG,0,08:03,08:11,8
0,SAJ,LBG,0,07:57,08:05,8
1,ZLW,CST,0,08:42,08:50,8
2,QRP,LBG,0,07:58,08:06,8
2,SAJ,LBG,0,08:15,08:23,8
0,STP,BFR,0,08:27,08:36,9
3,LEW,LBG,0,08:22,08:31,9
2,STP,BFR,0,08:32,08:41,9
4,LEW,LBG,0,08:24,08:33,9
4,SAJ,LBG,0,08:21,08:30,9
0,WAT,LBG,1,08:18,08:27,9
0,PMR,LBG,0,07:36,07:45,9
2,LGJ,BFR,0,08:15,08:24,9
1,LGJ,BFR,0,08:00,08:09,9
4,LAD,LBG,0,08:14,08:23,9
4,WAT,LBG,1,08:26,08:35,9
4,LGJ,BFR,0,08:30,08:39,9
2,LAD,LBG,0,07:54,08:03,9
3,WAT,LBG,1,08:24,08:33,9
0,LAD,LBG,0,07:34,07:43,9
2,WAT,LBG,1,08:22,08:31,9
1,WAT,LBG,1,08:20,08:29,9
3,PMR,LBG,0,08:06,08:15,9
3,LGJ,BFR,0,08:19,08:29,10
0,LGJ,BFR,0,07:49,07:59,10
3,HGR,LBG,0,08:15,08:25,10
2,PMR,LBG,0,07:56,08:06,10
4,ZFD,LBG,0,08:24,08:34,10
4,NXG,LBG,0,08:21,08:31,10
1,PMR,LBG,0,07:41,07:51,10
3,ZFD,LBG,0,08:19,08:29,10
2,ZFD,LBG,0,08:14,08:24,10
4,GNW,LBG,0,08:17,08:27,10
3,GNW,LBG,0,08:06,08:16,10
1,GNW,LBG,0,07:47,07:57,10
1,ZLW,BFR,0,08:40,08:50,10
4,PMR,LBG,0,08:11,08:21,10
0,LEW,LBG,0,08:13,08:23,10
3,SAJ,LBG,0,08:18,08:28,10
4,CFB,LBG,0,08:12,08:23,11
3,GRP,LBG,0,08:10,08:21,11
2,CFB,LBG,0,07:52,08:03,11
3,NXG,LBG,0,08:14,08:25,11
2,LEW,LBG,0,08:19,08:30,11
4,VIC,BFR,0,08:39,08:50,11
1,HGR,LBG,0,08:02,08:13,11
2,HNH,BFR,0,08:12,08:24,12
1,HNH,BFR,0,07:57,08:09,12
4,DMK,BFR,0,08:37,08:49,12
2,DMK,BFR,0,08:17,08:29,12
1,DMK,BFR,0,08:07,08:19,12
0,DMK,BFR,0,07:47,07:59,12
3,BKH,LBG,0,08:15,08:27,12
3,DEP,CST,0,08:09,08:21,12
2,MZH,LBG,0,07:51,08:03,12
1,NWD,LBG,0,07:46,07:58,12
4,HNH,BFR,0,08:27,08:39,12
4,NWD,LBG,0,08:16,08:28,12
1,BKH,LBG,0,08:07,08:19,12
3,NWD,LBG,0,08:07,08:20,13
4,MZH,LBG,0,08:14,08:27,13
0,SQE,LBG,1,07:45,07:58,13
1,LEW,LBG,0,08:15,08:28,13
4,NWX,CST,0,08:37,08:50,13
3,NWX,CST,0,08:34,08:47,13
0,NWX,CST,0,08:18,08:31,13
2,GRP,LBG,0,08:04,08:17,13
0,BKH,LBG,0,07:58,08:11,13
1,MZH,LBG,0,07:44,07:57,13
4,BKH,LBG,0,08:18,08:31,13
0,EDW,LBG,0,07:32,07:45,13
4,ECR,LBG,0,08:21,08:34,13
1,EDW,LBG,0,07:38,07:51,13
3,EDW,LBG,0,08:02,08:15,13
4,EDW,LBG,0,08:08,08:21,13
2,EDW,LBG,0,07:53,08:06,13
1,ECR,LBG,0,08:10,08:23,13
4,FST,CST,0,08:37,08:50,13
0,BCY,LBG,0,07:48,08:01,13
4,BCY,LBG,0,08:18,08:31,13
0,HNH,BFR,0,07:45,07:59,14
4,STP,LBG,0,08:20,08:34,14
2,NWX,CST,0,08:24,08:38,14
2,STP,LBG,0,08:10,08:24,14
2,LEE,LBG,0,07:59,08:13,14
2,WCB,LBG,0,07:49,08:03,14
3,STP,LBG,0,08:15,08:29,14
1,LAD,LBG,0,07:44,07:58,14
3,LAD,LBG,0,08:09,08:23,14
3,DMK,BFR,0,08:23,08:37,14
2,ECR,LBG,0,08:16,08:30,14
4,DEP,BFR,0,08:20,08:34,14
0,DEP,CST,0,07:32,07:46,14
1,DEP,CST,0,07:44,07:58,14
2,DEP,CST,0,07:57,08:11,14
4,DEP,CST,0,08:31,08:45,14
3,MZH,LBG,0,08:02,08:16,14
3,BCY,LBG,0,08:11,08:25,14
3,HNH,BFR,0,08:15,08:29,14
2,EPH,LBG,1,08:14,08:29,15
1,WCB,LBG,0,07:42,07:57,15
4,WCB,LBG,0,08:12,08:27,15
0,ECR,LBG,0,08:08,08:23,15
4,EPH,LBG,0,08:20,08:35,15
4,SQE,LBG,1,08:15,08:30,15
3,ESD,LBG,0,08:06,08:21,15
4,CHX,BFR,0,08:35,08:50,15
4,HGR,LBG,0,08:18,08:33,15
0,HPA,LBG,0,07:46,08:01,15
4,HPA,LBG,0,08:16,08:31,15
3,EPH,LBG,1,08:19,08:34,15
2,BCY,LBG,0,08:03,08:18,15
2,NDL,LBG,0,07:51,08:06,15
1,SDE,CST,1,08:23,08:38,15
4,VIC,CST,0,08:35,08:50,15
2,PMR,BFR,0,08:14,08:29,15
3,GNW,CST,0,08:06,08:21,15
0,ZCW,LBG,1,07:43,07:58,15
0,GRP,LBG,0,07:46,08:01,15
4,SDC,CST,1,08:33,08:48,15
3,SDC,CST,1,08:28,08:43,15
1,NWX,CST,0,08:21,08:36,15
4,NDL,LBG,0,08:06,08:21,15
3,FPK,BFR,0,08:08,08:23,15
1,NDL,LBG,0,07:36,07:51,15
0,NDL,LBG,0,07:30,07:45,15
2,SDC,CST,1,08:25,08:40,15
1,SDC,CST,1,08:22,08:37,15
0,SDC,CST,1,08:18,08:33,15
2,SDE,CST,1,08:27,08:42,15
3,NDL,LBG,0,08:00,08:15,15
4,PMR,BFR,0,08:34,08:49,15
1,FPK,BFR,0,07:38,07:53,15
2,LSY,LBG,0,07:48,08:03,15
4,LSY,LBG,0,08:08,08:23,15
4,KTN,BFR,0,08:21,08:36,15
3,KTN,BFR,0,08:06,08:21,15
2,KTN,BFR,0,07:51,08:06,15
0,LSY,LBG,0,07:28,07:43,15
0,KTN,BFR,0,07:21,07:36,15
1,KTN,BFR,0,07:36,07:51,15
0,NXG,LBG,1,08:07,08:23,16
2,LST,BFR,1,08:27,08:43,16
1,LST,BFR,1,08:25,08:41,16
4,SAJ,CST,0,08:31,08:47,16
4,KDB,LBG,0,08:11,08:27,16
1,NEH,LBG,0,07:49,08:05,16
0,SAJ,CST,0,08:03,08:19,16
1,SAJ,CST,0,08:15,08:31,16
0,GNW,CST,0,07:30,07:46,16
3,WCB,LBG,0,08:00,08:16,16
0,LST,BFR,1,08:22,08:38,16
4,NEH,LBG,0,08:09,08:25,16
4,LST,BFR,1,08:32,08:48,16
2,GNW,CST,0,07:55,08:11,16
4,FPK,BFR,0,08:22,08:38,16
2,FPK,BFR,0,07:52,08:08,16
4,TUH,BFR,0,08:23,08:39,16
3,SDE,CST,1,08:30,08:46,16
4,SDE,CST,1,08:34,08:50,16
0,SDE,CST,1,08:19,08:35,16
1,KDB,LBG,0,07:51,08:07,16
2,KDB,LBG,0,08:03,08:19,16
3,TUH,BFR,0,08:08,08:24,16
3,ECR,LBG,0,08:18,08:34,16
0,FPK,BFR,0,07:22,07:38,16
1,GNW,CST,0,07:42,07:58,16
4,FST,BFR,0,08:33,08:50,17
0,HGR,LBG,0,08:00,08:17,17
4,GNW,BFR,0,08:17,08:34,17
3,LEE,LBG,1,08:08,08:25,17
3,WDU,BFR,0,08:12,08:29,17
4,ZCW,LBG,1,08:13,08:30,17
2,BKH,LBG,0,08:11,08:28,17
3,SAJ,CST,0,08:21,08:38,17
2,ESD,LBG,0,08:00,08:17,17
0,SDE,BFR,1,08:15,08:32,17
2,SDE,BFR,1,08:23,08:40,17
3,SDE,BFR,1,08:27,08:44,17
0,SDC,BFR,1,08:18,08:35,17
1,SDC,BFR,1,08:22,08:39,17
2,SDC,BFR,1,08:25,08:42,17
4,GNW,CST,0,08:28,08:45,17
3,SDC,BFR,1,08:28,08:45,17
2,WPE,CST,1,08:25,08:42,17
2,NXG,LBG,1,08:13,08:30,17
3,DMK,LBG,1,07:58,08:15,17
1,WDU,BFR,0,07:42,07:59,17
4,NBC,LBG,0,08:06,08:23,17
2,NBC,LBG,0,07:46,08:03,17
0,NBC,LBG,0,07:26,07:43,17
4,SDC,BFR,1,08:33,08:50,17
3,CFB,LBG,0,08:06,08:23,17
1,WPE,CST,1,08:21,08:38,17
4,HOX,CST,1,08:31,08:48,17
3,HOX,CST,1,08:26,08:43,17
0,HOX,CST,1,08:16,08:33,17
2,HPA,LBG,0,08:01,08:18,17
2,SQE,LBG,1,08:00,08:17,17
3,HPA,LBG,0,08:08,08:25,17
3,CTN,LBG,0,08:10,08:27,17
0,CTN,LBG,0,07:46,08:03,17
2,HOX,CST,1,08:23,08:40,17
3,CLD,LBG,0,07:52,08:09,17
2,NHD,BFR,0,08:01,08:19,18
3,NHD,BFR,0,08:11,08:29,18
1,NHD,BFR,0,07:41,07:59,18
0,FOH,LBG,0,07:43,08:01,18
4,NHD,BFR,0,08:31,08:49,18
1,LEW,CST,0,08:13,08:31,18
2,TUH,LBG,0,07:57,08:15,18
4,ZLW,LBG,1,08:16,08:34,18
1,CLD,LBG,0,07:31,07:49,18
2,ZLW,LBG,1,08:06,08:24,18
4,SDE,BFR,1,08:30,08:48,18
1,CTN,LBG,0,07:53,08:11,18
0,ESD,LBG,0,07:43,08:01,18
1,SDE,BFR,1,08:19,08:37,18
1,NXG,LBG,1,08:10,08:28,18
2,MTG,LBG,0,07:55,08:13,18
1,ROE,CST,1,08:20,08:38,18
4,WAT,BFR,0,08:32,08:50,18
3,ZLW,LBG,1,08:11,08:29,18
4,CLD,LBG,0,08:11,08:29,18
1,HOX,CST,1,08:19,08:37,18
4,WCY,LBG,0,08:10,08:28,18
2,WDU,BFR,1,08:06,08:24,18
4,WPE,CST,1,08:32,08:50,18
3,WPE,CST,1,08:28,08:46,18
4,CTN,LBG,0,08:13,08:31,18
0,WPE,CST,1,08:17,08:35,18
4,LEW,CST,0,08:29,08:47,18
2,SAJ,CST,0,08:18,08:36,18
4,LST,CST,0,08:32,08:50,18
3,CIT,LBG,0,08:03,08:21,18
4,SUP,LBG,1,08:03,08:21,18
0,NHD,BFR,0,07:31,07:49,18
4,FOH,LBG,0,08:13,08:31,18
0,KDB,LBG,0,07:47,08:05,18
4,WAE,BFR,1,08:27,08:46,19
4,SCY,LBG,0,08:15,08:34,19
3,KGX,BFR,1,08:24,08:43,19
1,SYH,BFR,0,07:40,07:59,19
3,FOH,LBG,0,08:06,08:25,19
2,SCY,LBG,0,07:51,08:10,19
3,SYH,BFR,0,08:10,08:29,19
2,ROE,CST,1,08:23,08:42,19
4,GRP,LBG,0,08:14,08:33,19
3,CST,BFR,1,08:17,08:36,19
2,NWD,BFR,0,08:07,08:26,19
0,WPE,BFR,1,08:13,08:32,19
3,MZH,CST,0,08:02,08:21,19
2,ZCW,LBG,1,07:58,08:17,19
4,HOX,BFR,1,08:31,08:50,19
2,CTN,LBG,0,07:57,08:16,19
4,KGX,BFR,1,08:29,08:48,19
3,HOX,BFR,1,08:26,08:45,19
2,HOX,BFR,1,08:23,08:42,19
0,HOX,BFR,1,08:16,08:35,19
3,LEW,CST,0,08:19,08:38,19
3,WPE,BFR,1,08:25,08:44,19
4,LGJ,LBG,1,08:15,08:34,19
2,WPE,BFR,1,08:21,08:40,19
0,ROE,CST,1,08:16,08:35,19
1,SCY,LBG,0,07:45,08:04,19
1,WHP,BFR,0,08:02,08:21,19
4,CTF,LBG,1,08:04,08:23,19
0,BRX,BFR,1,07:20,07:39,19
3,TUH,LBG,0,08:02,08:21,19
2,VIC,LBG,1,08:05,08:24,19
0,ZLW,LBG,1,07:58,08:17,19
1,ZLW,LBG,1,08:01,08:20,19
3,NHD,LBG,1,08:00,08:19,19
2,HGG,CST,1,08:21,08:40,19
4,HGG,CST,1,08:29,08:48,19
2,CIT,LBG,0,07:58,08:17,19
3,WHP,BFR,0,08:17,08:36,19
2,HGR,LBG,0,08:11,08:30,19
4,VIC,LBG,1,08:15,08:34,19
3,VIC,LBG,1,08:10,08:29,19
3,HGG,CST,1,08:24,08:43,19
2,BRX,BFR,1,07:50,08:09,19
2,CTF,LBG,1,07:44,08:03,19
3,BRX,BFR,1,08:05,08:24,19
0,WDU,BFR,1,07:20,07:39,19
1,KGX,BFR,1,08:19,08:38,19
3,ROE,CST,1,08:27,08:46,19
4,ROE,CST,1,08:31,08:50,19
0,HGG,CST,1,08:14,08:33,19
4,ROE,LBG,1,08:11,08:30,19
4,BRX,BFR,1,08:20,08:39,19
2,WWD,LBG,0,07:43,08:03,20
1,HOX,BFR,1,08:19,08:39,20
4,ELW,LBG,0,08:07,08:27,20
4,WPE,LBG,1,08:10,08:30,20
2,MZH,CST,0,07:51,08:11,20
1,WPE,BFR,1,08:17,08:37,20
1,SID,LBG,0,07:45,08:05,20
2,ANZ,LBG,1,08:00,08:20,20
2,WAE,CST,1,08:25,08:45,20
4,HGR,CST,0,08:30,08:50,20
3,SBM,BFR,1,08:16,08:36,20
3,WAE,CST,1,08:27,08:47,20
2,LGJ,LBG,1,08:00,08:20,20
4,SID,LBG,0,08:05,08:25,20
2,ECR,BFR,0,08:16,08:36,20
1,HGG,CST,1,08:17,08:37,20
4,WPE,BFR,1,08:28,08:48,20
4,MZH,BFR,0,08:14,08:34,20
0,MZH,CST,0,07:26,07:46,20
1,MZH,CST,0,07:38,07:58,20
2,SBM,CST,1,08:01,08:21,20
3,ECR,BFR,0,08:21,08:41,20
4,SYD,LBG,0,08:11,08:31,20
1,ELW,LBG,0,07:47,08:07,20
1,LSY,LBG,0,07:38,07:58,20
0,SYH,BFR,1,07:34,07:54,20
4,MOG,BFR,1,08:28,08:48,20
3,MOG,BFR,1,08:23,08:43,20
2,MOG,BFR,1,08:21,08:41,20
0,LEE,LBG,0,07:28,07:48,20
1,MOG,BFR,1,08:18,08:38,20
0,MOG,BFR,1,08:16,08:36,20
1,CST,BFR,1,08:14,08:34,20
1,VIC,LBG,1,08:00,08:20,20
0,KGX,BFR,1,08:16,08:36,20
4,NHD,LBG,1,08:01,08:21,20
1,BRX,BFR,1,07:34,07:54,20
2,ZCW,CST,1,08:22,08:42,20
2,ELW,LBG,0,07:59,08:19,20
1,ZCW,CST,1,08:18,08:38,20
4,CLK,LBG,0,08:03,08:23,20
4,MZH,CST,0,08:25,08:45,20
0,WHP,BFR,0,07:51,08:11,20
2,KGX,BFR,1,08:21,08:41,20
2,WHP,BFR,0,08:06,08:26,20
4,LST,LBG,0,08:15,08:35,20
0,ROE,BFR,1,08:12,08:32,20
4,BMN,LBG,1,08:01,08:21,20
2,FOH,LBG,0,07:58,08:18,20
0,SYD,LBG,0,07:41,08:01,20
2,CLK,LBG,0,07:43,08:03,20
0,SNR,LBG,0,06:45,07:05,20
2,ROE,BFR,1,08:20,08:40,20
4,CYP,LBG,1,08:08,08:28,20
0,CYP,LBG,1,07:38,07:58,20
4,WHP,BFR,0,08:21,08:41,20
3,SBM,CST,1,08:10,08:31,21
4,FPK,LBG,0,08:08,08:29,21
4,ECR,BFR,0,08:25,08:46,21
1,ROE,BFR,1,08:16,08:37,21
3,ROE,BFR,1,08:23,08:44,21
4,ROE,BFR,1,08:27,08:48,21
2,NEH,LBG,0,07:52,08:13,21
2,NHD,LBG,1,07:54,08:15,21
0,HGG,BFR,1,08:14,08:35,21
2,ROE,LBG,1,07:56,08:17,21
2,HGG,BFR,1,08:21,08:42,21
4,HGG,BFR,1,08:29,08:50,21
3,PET,LBG,0,08:00,08:21,21
2,LEW,CST,0,08:15,08:36,21
4,DLJ,CST,1,08:27,08:48,21
3,HGG,BFR,1,08:24,08:45,21
4,STE,BFR,0,08:18,08:39,21
3,MTG,LBG,1,08:04,08:25,21
3,LSY,LBG,0,08:02,08:23,21
1,NWX,LBG,1,08:10,08:31,21
1,CDS,LBG,0,07:39,08:00,21
4,CDS,LBG,0,08:09,08:30,21
1,GRP,CST,0,08:04,08:25,21
3,KDB,LBG,0,08:07,08:28,21
0,CFT,BFR,0,07:28,07:49,21
3,WCB,CST,0,08:00,08:21,21
1,CFT,BFR,0,07:38,07:59,21
3,CFT,BFR,0,08:08,08:29,21
4,CFT,BFR,0,08:28,08:49,21
3,BFR,CST,1,08:24,08:45,21
4,BFR,CST,1,08:29,08:50,21
4,MOG,LBG,0,08:14,08:35,21
2,SYH,BFR,1,08:03,08:24,21
4,KGX,LBG,0,08:14,08:35,21
4,ZCW,CST,1,08:29,08:50,21
0,ZCW,CST,1,08:14,08:35,21
2,CFT,BFR,0,07:58,08:19,21
3,SQE,LBG,1,08:04,08:25,21
3,STE,BFR,0,08:03,08:24,21
3,ZCW,CST,1,08:25,08:46,21
1,WAE,CST,1,08:21,08:42,21
1,CLP,BFR,1,07:38,07:59,21
4,WAE,CST,1,08:29,08:50,21
0,WAE,CST,1,08:19,08:40,21
1,GRP,LBG,0,07:56,08:17,21
0,FPK,LBG,0,07:08,07:29,21
3,DLJ,CST,1,08:22,08:43,21
0,CIT,LBG,0,07:40,08:01,21
3,CLP,BFR,1,08:08,08:29,21
0,DLJ,CST,1,08:12,08:33,21
2,FPK,LBG,0,07:38,07:59,21
2,DLJ,CST,1,08:19,08:40,21
1,LEE,LBG,0,07:49,08:11,22
1,FPK,LBG,0,07:22,07:44,22
4,CST,BFR,1,08:24,08:46,22
4,HNH,LBG,1,08:12,08:34,22
1,SQE,CST,1,08:16,08:38,22
4,LEE,LBG,0,08:08,08:30,22
4,CLP,LBG,1,07:53,08:15,22
3,SNR,LBG,0,07:48,08:10,22
3,STE,LBG,0,07:53,08:15,22
4,WAT,CST,0,08:28,08:50,22
3,SYD,LBG,0,08:03,08:25,22
0,ELW,LBG,0,07:43,08:05,22
2,SYD,LBG,0,07:56,08:18,22
0,CLP,LBG,1,06:53,07:15,22
1,HGG,BFR,1,08:17,08:39,22
2,CLP,LBG,1,07:23,07:45,22
2,SNR,LBG,0,07:18,07:40,22
2,SQE,CST,1,08:20,08:42,22
3,CHX,BFR,1,08:24,08:46,22
2,LAD,CST,0,08:09,08:31,22
4,DMK,LBG,1,08:07,08:29,22
3,FPK,LBG,0,07:52,08:14,22
1,DLJ,CST,1,08:15,08:37,22
3,LST,BFR,0,08:28,08:50,22
4,WCB,BFR,0,08:12,08:34,22
2,WPE,LBG,1,07:55,08:17,22
1,WCB,CST,0,07:36,07:58,22
3,NDL,BFR,1,08:17,08:39,22
2,WCB,CST,0,07:49,08:11,22
4,SBM,CST,1,08:16,08:38,22
1,LST,LBG,1,08:02,08:24,22
0,LAD,CST,0,07:44,08:06,22
2,LST,LBG,1,08:07,08:29,22
0,NWX,LBG,1,08:03,08:25,22
3,SCY,LBG,0,07:58,08:20,22
1,NBC,LBG,0,07:36,07:58,22
3,ZCW,BFR,1,08:22,08:44,22
4,NWX,BFR,1,08:24,08:46,22
2,ZCW,BFR,1,08:18,08:40,22
3,LST,LBG,1,08:12,08:34,22
2,PUO,LBG,0,07:42,08:04,22
2,PNW,LBG,1,07:58,08:20,22
4,PUO,LBG,0,08:12,08:34,22
4,SDE,LBG,1,08:08,08:30,22
0,PUO,LBG,0,07:12,07:34,22
4,QRP,BFR,1,08:27,08:49,22
0,ZCW,BFR,1,08:10,08:32,22
3,WWD,LBG,0,07:54,08:16,22
1,FCN,LBG,0,07:44,08:07,23
4,WDU,BFR,1,08:16,08:39,23
2,KTN,LBG,1,07:51,08:14,23
4,KTN,LBG,1,08:06,08:29,23
4,FCN,LBG,0,08:04,08:27,23
2,QRP,CST,1,08:08,08:31,23
4,PNW,LBG,0,08:08,08:31,23
0,QRP,CST,1,07:58,08:21,23
1,WWR,BFR,1,07:36,07:59,23
0,LST,LBG,1,07:57,08:20,23
4,EUS,LBG,0,08:12,08:35,23
0,RDD,LBG,0,06:42,07:05,23
0,GRP,CST,0,07:46,08:09,23
3,WWR,BFR,1,08:06,08:29,23
2,QRP,BFR,1,08:13,08:36,23
3,PNE,BFR,0,08:06,08:29,23
1,PNE,BFR,0,07:36,07:59,23
2,FCN,LBG,0,07:56,08:19,23
1,WDO,LBG,0,06:35,06:58,23
2,PET,LBG,0,07:54,08:17,23
3,DYP,BFR,1,08:00,08:23,23
1,DYP,BFR,1,07:30,07:53,23
1,SBM,CST,1,07:46,08:09,23
0,WWA,LBG,0,07:40,08:03,23
3,WWA,LBG,0,08:04,08:27,23
4,WWA,LBG,0,08:08,08:31,23
1,STE,LBG,0,07:43,08:06,23
1,DMK,LBG,1,07:47,08:10,23
4,DLJ,BFR,1,08:27,08:50,23
3,DLJ,BFR,1,08:22,08:45,23
0,WCB,CST,0,07:23,07:46,23
4,WCB,CST,0,08:22,08:45,23
2,DLJ,BFR,1,08:19,08:42,23
0,CRI,BFR,0,07:13,07:36,23
0,DLJ,BFR,1,08:12,08:35,23
1,CRI,BFR,0,07:28,07:51,23
3,NWX,BFR,1,08:18,08:41,23
3,NBC,LBG,0,08:00,08:23,23
2,CRI,BFR,0,07:43,08:06,23
1,ZCW,BFR,1,08:14,08:37,23
3,CRI,BFR,0,07:58,08:21,23
4,CRI,BFR,0,08:13,08:36,23
4,ZCW,BFR,1,08:25,08:48,23
4,CFT,LBG,1,07:58,08:21,23
3,ZCW,LBG,1,08:02,08:25,23
3,WDO,LBG,0,07:35,07:58,23
4,WDO,LBG,0,08:05,08:28,23
2,WDO,LBG,0,07:05,07:28,23
2,HNH,LBG,1,07:57,08:20,23
4,SQE,CST,1,08:27,08:50,23
4,SEV,LBG,0,08:12,08:35,23
2,CHX,CST,1,08:22,08:45,23
4,AYP,LBG,0,08:02,08:25,23
3,SQE,CST,1,08:23,08:46,23
0,WNW,LBG,0,06:58,07:21,23
0,ELE,LBG,0,07:20,07:43,23
2,ELE,LBG,0,07:40,08:03,23
4,ELE,LBG,0,08:00,08:23,23
0,SQE,CST,1,08:12,08:35,23
3,CHX,CST,1,08:24,08:47,23
2,WNW,LBG,0,07:28,07:51,23
4,ESD,LBG,0,08:10,08:33,23
4,WNW,LBG,0,07:58,08:21,23
1,AYP,LBG,0,07:42,08:05,23
4,LAD,CST,0,08:24,08:47,23
1,SQE,LBG,1,07:52,08:15,23
0,CHX,CST,1,08:16,08:40,24
4,LEW,BFR,1,08:22,08:46,24
2,WAT,BFR,2,08:22,08:46,24
3,CTN,CST,0,07:57,08:21,24
4,CNN,CST,1,08:19,08:43,24
3,CTN,BFR,0,08:10,08:34,24
1,CHX,CST,1,08:18,08:42,24
4,CHX,CST,1,08:26,08:50,24
2,SQE,BFR,1,08:16,08:40,24
0,PNE,BFR,1,07:30,07:54,24
3,SQE,BFR,1,08:20,08:44,24
4,ANZ,LBG,0,08:07,08:31,24
4,CTK,CST,1,08:26,08:50,24
3,CTK,CST,1,08:21,08:45,24
2,CTK,CST,1,08:16,08:40,24
2,CTF,BFR,0,07:55,08:19,24
3,CTF,BFR,0,08:05,08:29,24
4,CTF,BFR,0,08:25,08:49,24
0,SQE,BFR,1,08:08,08:32,24
2,CNN,CST,1,08:04,08:28,24
0,CFB,CST,0,07:42,08:06,24
0,ANZ,LBG,0,07:37,08:01,24
2,PNE,BFR,1,08:00,08:24,24
4,ZFD,CST,0,08:26,08:50,24
0,CNN,CST,1,07:49,08:13,24
1,SBM,BFR,1,08:10,08:34,24
2,SID,LBG,0,07:49,08:13,24
0,SDE,LBG,1,07:53,08:17,24
4,NXG,CST,1,08:26,08:50,24
1,SEV,LBG,0,07:51,08:15,24
4,WWR,LBG,1,07:51,08:15,24
3,NXG,CST,1,08:23,08:47,24
2,WWR,LBG,1,07:21,07:45,24
0,WWR,LBG,1,06:51,07:15,24
4,KCK,LBG,1,08:05,08:29,24
1,WWA,LBG,0,07:47,08:11,24
1,DEP,BFR,1,07:57,08:21,24
0,WWD,LBG,0,07:27,07:51,24
1,DLJ,BFR,1,08:15,08:39,24
2,KCK,LBG,1,07:45,08:09,24
0,KCK,LBG,1,07:25,07:49,24
0,MTG,LBG,0,07:24,07:48,24
1,ESD,CST,0,08:00,08:25,25
3,ELW,LBG,0,08:03,08:28,25
4,SQE,BFR,1,08:23,08:48,25
1,LAD,CST,1,07:54,08:19,25
2,RDD,LBG,0,07:15,07:40,25
3,QRP,CST,1,08:13,08:38,25
3,RDD,LBG,0,07:45,08:10,25
1,CTN,CST,0,07:33,07:58,25
2,CTN,CST,0,07:46,08:11,25
3,ROE,LBG,1,08:00,08:25,25
0,PUR,LBG,1,07:28,07:53,25
4,CTN,CST,0,08:20,08:45,25
1,PUR,LBG,0,07:39,08:04,25
1,BCY,LBG,2,07:52,08:17,25
0,LEW,CST,1,08:02,08:27,25
